revenue_month,revenue
2009-01-12,663272.05
2010-01-01,531952.9
2010-01-02,489399.58
2010-01-03,635996.48
2010-01-04,560635.02
2010-01-05,559924.55
2010-01-06,571459.91
2010-01-07,562785.9
2010-01-08,587256.46
2010-01-09,781033.3
2010-01-10,964989.78
2010-01-11,1134879.28
2010-01-12,859227.37
2011-01-01,475074.38
2011-01-02,436546.15
2011-01-03,579964.61
2011-01-04,426047.85
2011-01-05,648251.08
2011-01-06,608013.16
2011-01-07,574238.48
2011-01-08,616368.0
2011-01-09,931440.37
2011-01-10,974603.59
2011-01-11,1132407.74
2011-01-12,342524.38
2011-02-01,816511.9033333333
2011-03-01,816511.9033333333
2011-04-01,816511.9033333333
